generation,phase,lead_best_fitness,lead_avg_fitness,follow_best_fitness,follow_avg_fitness,lead_n_species,follow_n_species,lead_n_connections_best,follow_n_connections_best,lead_val_acc,follow_val_acc,fixed_probe_delta,elapsed_sec
417,1,1.093750,0.794139,1.093750,0.794139,20,20,171,193,0.000000,0.000000,0.000000,7.89
418,1,0.062500,-0.437828,0.062500,-0.437828,20,20,150,169,0.000000,0.000000,0.000000,6.11
419,1,0.933594,0.661836,0.933594,0.661836,20,20,167,193,0.000000,0.000000,0.000000,8.12
420,1,0.681641,-0.009725,0.681641,-0.009725,20,20,156,186,0.000000,0.000000,0.000000,7.75
421,1,0.607422,0.252004,0.607422,0.252004,20,20,153,182,0.000000,0.000000,0.000000,6.29
422,1,0.599609,0.209107,0.599609,0.209107,20,20,160,192,0.000000,0.000000,0.000000,7.26
423,1,0.261719,-0.164721,0.261719,-0.164721,20,20,158,190,0.000000,0.000000,0.000000,6.17
424,1,0.800781,0.360586,0.800781,0.360586,20,20,157,172,0.000000,0.000000,0.000000,6.51
425,1,0.464844,0.117078,0.464844,0.117078,20,20,154,189,0.000000,0.000000,1.261719,9.10
426,1,0.427734,0.059637,0.427734,0.059637,20,20,151,187,0.000000,0.000000,0.000000,6.74
427,1,0.623047,0.274141,0.623047,0.274141,20,20,154,172,0.000000,0.000000,0.000000,7.28
428,1,0.443359,0.102838,0.443359,0.102838,20,20,175,206,0.000000,0.000000,0.000000,8.14
429,1,0.703125,0.295789,0.703125,0.295789,20,20,174,192,0.000000,0.000000,0.000000,8.67
430,1,0.783203,0.372734,0.783203,0.372734,20,20,128,150,0.000000,0.000000,0.000000,8.27
431,1,0.632812,0.185773,0.632812,0.185773,20,20,173,184,0.000000,0.000000,0.000000,8.07
432,1,0.771484,0.398830,0.771484,0.398830,20,20,159,188,0.000000,0.000000,0.000000,10.52
433,1,1.005859,0.619154,1.005859,0.619154,20,20,182,197,0.000000,0.000000,0.000000,8.46
434,1,0.318359,-0.097350,0.318359,-0.097350,20,20,171,196,0.000000,0.000000,0.000000,7.33
435,1,0.791016,0.258477,0.791016,0.258477,20,20,169,188,0.000000,0.000000,0.000000,12.36
436,1,0.748047,0.219229,0.748047,0.219229,20,20,159,192,0.000000,0.000000,0.000000,9.65
437,1,0.882812,0.601574,0.882812,0.601574,20,20,170,191,0.000000,0.000000,0.000000,8.76
438,1,0.662109,0.413973,0.662109,0.413973,20,20,174,198,0.000000,0.000000,0.000000,7.18
439,1,0.820312,0.380805,0.820312,0.380805,20,20,160,197,0.000000,0.000000,0.000000,7.13
440,1,0.244141,-0.129531,0.244141,-0.129531,20,20,167,194,0.000000,0.000000,0.000000,10.15
441,1,0.820312,0.598627,0.820312,0.598627,20,20,173,191,0.000000,0.000000,0.000000,9.70
442,1,0.863281,0.536687,0.863281,0.536687,20,20,184,197,0.000000,0.000000,0.000000,12.54
443,1,0.269531,-0.100244,0.269531,-0.100244,20,20,171,194,0.000000,0.000000,0.000000,10.41
444,1,0.654297,0.196113,0.654297,0.196113,20,20,172,198,0.000000,0.000000,0.000000,7.30
445,1,0.732422,0.292924,0.732422,0.292924,20,20,154,177,0.000000,0.000000,0.000000,9.02
446,1,1.013672,0.757197,1.013672,0.757197,20,20,166,178,0.000000,0.000000,0.000000,8.23
447,1,0.720703,0.155773,0.720703,0.155773,20,20,154,175,0.000000,0.000000,0.000000,6.98
448,1,0.767578,0.546887,0.767578,0.546887,20,20,170,176,0.000000,0.000000,0.000000,9.31
449,1,0.478516,0.182787,0.478516,0.182787,20,20,176,198,0.000000,0.000000,0.000000,7.11
450,1,0.810547,0.485227,0.810547,0.485227,20,20,160,171,0.000000,0.000000,1.156250,7.06
451,1,0.544922,0.128576,0.544922,0.128576,20,20,181,196,0.000000,0.000000,0.000000,9.32
452,1,0.744141,0.318512,0.744141,0.318512,20,20,154,181,0.000000,0.000000,0.000000,8.32
453,1,1.171875,0.831914,1.171875,0.831914,20,20,180,198,0.000000,0.000000,0.000000,7.03
454,1,0.599609,0.311035,0.599609,0.311035,20,20,168,181,0.000000,0.000000,0.000000,7.44
455,1,0.664062,0.125404,0.664062,0.125404,20,20,160,185,0.000000,0.000000,0.000000,9.36
456,1,0.662109,0.321420,0.662109,0.321420,20,20,169,199,0.000000,0.000000,0.000000,11.92
457,1,0.593750,0.060004,0.593750,0.060004,20,20,176,201,0.000000,0.000000,0.000000,12.24
